Title,Description,Label
Stock market hits all-time high,The article spreads misinformation without proof.,Real
Government launches new health scheme,No credible sources back this claim about elections.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Fake
Government launches new health scheme,Financial experts analyze market trends and growth.,Fake
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
New AI model beats humans in chess,Detailed report by experts confirms the news.,Real
Fake claim about COVID-19 cure spreads,Press release confirms smartphone features and specs.,Fake
New AI model beats humans in chess,Social media users are sharing false details widely.,Fake
False story about earthquake warning,AI breakthroughs are officially confirmed by researchers.,Real
Stock market hits all-time high,No credible sources back this claim about elections.,Real
NASA discovers water on Mars,Rumors spread online without scientific validation.,Real
Unverified report on climate change,Social media users are sharing false details widely.,Real
Unverified report on climate change,Scientists provide evidence supporting the discovery.,Fake
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Real
Stock market hits all-time high,Financial experts analyze market trends and growth.,Real
False story about earthquake warning,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,The article spreads misinformation without proof.,Fake
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Real
Celebrity found in secret scandal,Financial experts analyze market trends and growth.,Fake
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Real
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Stock market hits all-time high,The article spreads misinformation without proof.,Real
New AI model beats humans in chess,No credible sources back this claim about elections.,Real
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
False story about earthquake warning,Press release confirms smartphone features and specs.,Real
Rumors about elections go viral,Press release confirms smartphone features and specs.,Fake
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,Social media users are sharing false details widely.,Fake
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Fake
Rumors about elections go viral,No credible sources back this claim about elections.,Fake
Stock market hits all-time high,Social media users are sharing false details widely.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Real
False story about earthquake warning,The article spreads misinformation without proof.,Real
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,Detailed report by experts confirms the news.,Fake
Fake claim about COVID-19 cure spreads,People panicked due to misleading earthquake news.,Fake
Celebrity found in secret scandal,Detailed report by experts confirms the news.,Real
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Fake
Tech company releases new smartphone,The article spreads misinformation without proof.,Real
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Rumors about elections go viral,People panicked due to misleading earthquake news.,Fake
Fake claim about COVID-19 cure spreads,Press release confirms smartphone features and specs.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Fake
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Fake
